Date,Actual Price,Predicted Price
2019-04-23,303.3999938964844,305.48853
2019-04-24,306.45001220703125,304.4397
2019-04-25,304.1499938964844,304.5759
2019-04-26,304.54998779296875,304.225
2019-04-30,301.3500061035156,303.94827
2019-05-02,305.0,302.69177
2019-05-03,304.25,302.7236
2019-05-06,307.0,302.92816
2019-05-07,301.8999938964844,304.1139
2019-05-08,300.6499938964844,303.59818
2019-05-09,299.8500061035156,302.3043
2019-05-10,297.75,300.86438
2019-05-13,289.29998779296875,299.12515
2019-05-14,294.3500061035156,295.05875
2019-05-15,297.04998779296875,293.19794
2019-05-16,294.75,293.57672
2019-05-17,301.3999938964844,293.9974
2019-05-20,307.0,296.6798
2019-05-21,305.8999938964844,301.26385
2019-05-22,299.75,304.81342
2019-05-23,288.20001220703125,304.88235
2019-05-24,290.45001220703125,299.79807
2019-05-27,290.8500061035156,295.10974
2019-05-28,288.8999938964844,291.92053
2019-05-29,288.1000061035156,289.57028
2019-05-30,288.6499938964844,288.06946
2019-05-31,278.54998779296875,287.62997
2019-06-03,278.54998779296875,284.53104
2019-06-04,279.25,281.63318
2019-06-06,275.75,279.95944
2019-06-07,275.25,278.18936
2019-06-10,279.3999938964844,276.91028
2019-06-11,279.8500061035156,277.6294
2019-06-12,279.95001220703125,279.0642
2019-06-13,280.6000061035156,280.46472
2019-06-14,278.04998779296875,281.69583
2019-06-17,275.0,281.66327
2019-06-18,275.1000061035156,280.1768
2019-06-19,277.20001220703125,278.58386
2019-06-20,277.0,278.0133
2019-06-21,274.25,277.8543
2019-06-24,276.25,277.00714
2019-06-25,278.5,276.82715
2019-06-26,277.3999938964844,277.63077
2019-06-27,273.5,278.18704
2019-06-28,273.8500061035156,277.257
2019-07-01,274.95001220703125,276.1937
2019-07-02,273.8500061035156,275.7005
2019-07-03,276.70001220703125,275.17993
2019-07-04,277.6499938964844,275.73465
2019-07-05,279.45001220703125,276.80344
2019-07-08,277.45001220703125,278.33832
2019-07-09,273.1000061035156,278.93643
2019-07-10,273.1499938964844,277.62405
2019-07-11,275.6499938964844,276.0136
2019-07-12,275.04998779296875,275.5035
2019-07-15,270.95001220703125,275.3026
2019-07-16,271.95001220703125,273.98807
2019-07-17,272.8999938964844,273.03708
2019-07-18,273.0,272.795
2019-07-19,268.29998779296875,272.93677
2019-07-22,264.3999938964844,271.72162
2019-07-23,270.6499938964844,269.21344
2019-07-24,270.8500061035156,268.99374
2019-07-25,267.8500061035156,269.68558
2019-07-26,270.3999938964844,269.6303
2019-07-29,267.75,270.21387
2019-07-30,268.8999938964844,270.00726
2019-07-31,270.20001220703125,269.9791
2019-08-01,267.54998779296875,270.4119
2019-08-02,264.5,270.02625
2019-08-05,259.79998779296875,268.50943
2019-08-06,258.8999938964844,265.54477
2019-08-07,253.6499938964844,262.65552
2019-08-08,257.75,258.99088
2019-08-09,254.19999694824222,257.47235
2019-08-13,246.3000030517578,256.0907
2019-08-14,248.75,252.87146
2019-08-16,253.0,250.8344
2019-08-19,251.5500030517578,251.15091
2019-08-20,246.5,251.8591
2019-08-21,241.4499969482422,251.09198
2019-08-22,240.0500030517578,248.5713
2019-08-23,236.1000061035156,245.752
2019-08-26,242.5,242.42717
2019-08-27,245.49999999999997,241.83302
2019-08-28,245.9499969482422,243.28833
2019-08-29,241.1999969482422,245.29568
2019-08-30,245.64999389648443,245.57501
2019-09-03,241.5500030517578,246.54562
2019-09-04,243.25,246.16016
2019-09-05,244.24999999999997,245.89522
2019-09-06,243.8999938964844,245.96292
2019-09-09,245.49999999999997,245.96735
2019-09-11,243.75,246.39673
2019-09-12,240.75,246.27664
2019-09-13,239.8999938964844,245.06374
2019-09-16,239.3999938964844,243.51924
2019-09-17,237.1999969482422,242.10075
2019-09-18,239.25,240.45293
2019-09-19,236.6999969482422,239.82832
2019-09-20,238.0500030517578,238.9927
2019-09-23,254.8500061035156,238.7891
2019-09-24,256.0,243.96297
2019-09-25,247.5500030517578,249.9628
